Bands,Wavelength_nm,,,,,
1,355.5900,,,,,
2,365.7600,,,,,
3,375.9400,,,,,
4,386.1100,,,,,
5,396.2900,,,,,
6,406.4600,,,,,
7,416.6400,,,,,
8,426.8200,,,,,
9,436.9900,,,,,
10,447.1700,,,,,
11,457.3400,,,,,
12,467.5200,,,,,
13,477.6900,,,,,
14,487.8700,,,,,
15,498.0400,,,,,
16,508.2200,,,,,
17,518.3900,,,,,
18,528.5700,,,,,
19,538.7400,,,,,
20,548.9200,,,,,
21,559.0900,,,,,
22,569.2700,,,,,
23,579.4500,,,,,
24,589.6200,,,,,
25,599.8000,,,,,
26,609.9700,,,,,
27,620.1500,,,,,
28,630.3200,,,,,
29,640.5000,,,,,
30,650.6700,,,,,
31,660.8500,,,,,
32,671.0200,,,,,
33,681.2000,,,,,
34,691.3700,,,,,
35,701.5500,,,,,
36,711.7200,,,,,
37,721.9000,,,,,
38,732.0700,,,,,
39,742.2500,,,,,
40,752.4300,,,,,
41,762.6000,,,,,
42,772.7800,,,,,
43,782.9500,,,,,
44,793.1300,,,,,
45,803.3000,,,,,
46,813.4800,,,,,
47,823.6500,,,,,
48,833.8300,,,,,
49,844.0000,,,,,
50,851.9200,,,,,
51,854.1800,,,,,
52,862.0100,,,,,
53,864.3500,,,,,
54,872.1000,,,,,
55,874.5300,,,,,
56,882.1900,,,,,
57,884.7000,,,,,
58,892.2800,,,,,
59,894.8800,,,,,
60,902.3600,,,,,
61,905.0500,,,,,
62,912.4500,,,,,
63,915.2300,,,,,
64,922.5400,,,,,
65,925.4100,,,,,
66,932.6400,,,,,
67,935.5800,,,,,
68,942.7300,,,,,
69,945.7600,,,,,
70,952.8200,,,,,
71,955.9300,,,,,
72,962.9100,,,,,
73,966.1100,,,,,
74,972.9900,,,,,
75,976.2800,,,,,
76,983.0800,,,,,
77,986.4600,,,,,
78,993.1700,,,,,
79,996.6300,,,,,
80,1003.3000,,,,,
81,1006.8100,,,,,
82,1013.3000,,,,,
83,1016.9800,,,,,
84,1023.4000,,,,,
85,1027.1600,,,,,
86,1033.4900,,,,,
87,1037.3300,,,,,
88,1043.5900,,,,,
89,1047.5100,,,,,
90,1053.6900,,,,,
91,1057.6800,,,,,
92,1063.7900,,,,,
93,1073.8900,,,,,
94,1083.9900,,,,,
95,1094.0900,,,,,
96,1104.1900,,,,,
97,1114.1900,,,,,
98,1124.2800,,,,,
99,1134.3800,,,,,
100,1144.4800,,,,,
101,1154.5800,,,,,
102,1164.6800,,,,,
103,1174.7700,,,,,
104,1184.8700,,,,,
105,1194.9700,,,,,
106,1205.0700,,,,,
107,1215.1700,,,,,
108,1225.1700,,,,,
109,1235.2700,,,,,
110,1245.3600,,,,,
111,1255.4600,,,,,
112,1265.5600,,,,,
113,1275.6600,,,,,
114,1285.7600,,,,,
115,1295.8600,,,,,
116,1305.9600,,,,,
117,1316.0500,,,,,
118,1326.0500,,,,,
119,1336.1500,,,,,
120,1346.2500,,,,,
121,1356.3500,,,,,
122,1366.4500,,,,,
123,1376.5500,,,,,
124,1386.6500,,,,,
125,1396.7400,,,,,
126,1406.8400,,,,,
127,1416.9400,,,,,
128,1426.9400,,,,,
129,1437.0400,,,,,
130,1447.1400,,,,,
131,1457.2300,,,,,
132,1467.3300,,,,,
133,1477.4300,,,,,
134,1487.5300,,,,,
135,1497.6300,,,,,
136,1507.7300,,,,,
137,1517.8300,,,,,
138,1527.9200,,,,,
139,1537.9200,,,,,
140,1548.0200,,,,,
141,1558.1200,,,,,
142,1568.2200,,,,,
143,1578.3200,,,,,
144,1588.4200,,,,,
145,1598.5100,,,,,
146,1608.6100,,,,,
147,1618.7100,,,,,
148,1628.8100,,,,,
149,1638.8100,,,,,
150,1648.9000,,,,,
151,1659.0000,,,,,
152,1669.1000,,,,,
153,1679.2000,,,,,
154,1689.3000,,,,,
155,1699.4000,,,,,
156,1709.5000,,,,,
157,1719.6000,,,,,
158,1729.7000,,,,,
159,1739.7000,,,,,
160,1749.7900,,,,,
161,1759.8900,,,,,
162,1769.9900,,,,,
163,1780.0900,,,,,
164,1790.1900,,,,,
165,1800.2900,,,,,
166,1810.3800,,,,,
167,1820.4800,,,,,
168,1830.5800,,,,,
169,1840.5800,,,,,
170,1850.6800,,,,,
171,1860.7800,,,,,
172,1870.8700,,,,,
173,1880.9800,,,,,
174,1891.0700,,,,,
175,1901.1700,,,,,
176,1911.2700,,,,,
177,1921.3700,,,,,
178,1931.4700,,,,,
179,1941.5700,,,,,
180,1951.5700,,,,,
181,1961.6600,,,,,
182,1971.7600,,,,,
183,1981.8600,,,,,
184,1991.9600,,,,,
185,2002.0600,,,,,
186,2012.1500,,,,,
187,2022.2500,,,,,
188,2032.3500,,,,,
189,2042.4500,,,,,
190,2052.4500,,,,,
191,2062.5500,,,,,
192,2072.6500,,,,,
193,2082.7500,,,,,
194,2092.8400,,,,,
195,2102.9400,,,,,
196,2113.0400,,,,,
197,2123.1400,,,,,
198,2133.2400,,,,,
199,2143.3400,,,,,
200,2153.3400,,,,,
201,2163.4300,,,,,
202,2173.5300,,,,,
203,2183.6300,,,,,
204,2193.7300,,,,,
205,2203.8300,,,,,
206,2213.9300,,,,,
207,2224.0300,,,,,
208,2234.1200,,,,,
209,2244.2200,,,,,
210,2254.2200,,,,,
211,2264.3200,,,,,
212,2274.4200,,,,,
213,2284.5200,,,,,
214,2294.6100,,,,,
215,2304.7100,,,,,
216,2314.8100,,,,,
217,2324.9100,,,,,
218,2335.0100,,,,,
219,2345.1100,,,,,
220,2355.2100,,,,,
221,2365.2000,,,,,
222,2375.3000,,,,,
223,2385.4000,,,,,
224,2395.5000,,,,,
225,2405.6000,,,,,
226,2415.7000,,,,,
227,2425.8000,,,,,
228,2435.8900,,,,,
229,2445.9900,,,,,
230,2456.0900,,,,,
231,2466.0900,,,,,
232,2476.1900,,,,,
233,2486.2900,,,,,
234,2496.3900,,,,,
235,2506.4800,,,,,
236,2516.5900,,,,,
237,2526.6800,,,,,
238,2536.7800,,,,,
239,2546.8800,,,,,
240,2556.9800,,,,,
241,2566.9800,,,,,
242,2577.0800,,,,,
,,,,,,
